Median length	684.0
Size range:  664 to 684
Accession ID, Species, Sequence name           Length  Difference from median length  Percent of median length    Groups  Fragment of
NC_051480.1, Chelonoidis guntheri, ATP6           684                              0                    100.00   set: 14  
OM719674.1, Chelonoidis guntheri, ATP6            684                              0                    100.00   set: 14  
OM719675.1, Chelonoidis guntheri, ATP6            684                              0                    100.00   set: 14  
OM719676.1, Chelonoidis guntheri, ATP6            684                              0                    100.00   set: 14  
MT017696.1, Chelonoidis hoodensis, ATP6           684                              0                    100.00    set: 2  
NC_051476.1, Chelonoidis hoodensis, ATP6          684                              0                    100.00    set: 2  
OM719683.1, Chelonoidis hoodensis, ATP6           684                              0                    100.00    set: 2  
OM719684.1, Chelonoidis hoodensis, ATP6           684                              0                    100.00    set: 2  
OM719685.1, Chelonoidis hoodensis, ATP6           684                              0                    100.00    set: 2  
MT017702.1, Chelonoidis microphyes, ATP6          684                              0                    100.00   set: 14  
NC_051482.1, Chelonoidis microphyes, ATP6         684                              0                    100.00   set: 14  
OM719708.1, Chelonoidis microphyes, ATP6          684                              0                    100.00   set: 14  
OM719709.1, Chelonoidis microphyes, ATP6          684                              0                    100.00   set: 14  
JN999704.2, Chelonoidis niger, ATP6               664                            -20                     97.08   set: 15  set: 19, set: 21
MT017691.1, Chelonoidis niger, ATP6               684                              0                    100.00   set: 16  
OM719687.1, Chelonoidis niger, ATP6               684                              0                    100.00   set: 17  
OM719686.1, Chelonoidis phantasticus, ATP6        684                              0                    100.00   set: 18  
OM719688.1, Chelonoidis phantasticus, ATP6        684                              0                    100.00   set: 19  
MT017698.1, Chelonoidis porteri, ATP6             684                              0                    100.00   set: 20  
NC_051478.1, Chelonoidis porteri, ATP6            684                              0                    100.00   set: 20  
OM719680.1, Chelonoidis porteri, ATP6             684                              0                    100.00   set: 21  
OM719681.1, Chelonoidis porteri, ATP6             684                              0                    100.00   set: 20  
OM719682.1, Chelonoidis porteri, ATP6             684                              0                    100.00   set: 20  
MT017701.1, Chelonoidis vandenburghi, ATP6        684                              0                    100.00   set: 14  
NC_051481.1, Chelonoidis vandenburghi, ATP6       684                              0                    100.00   set: 14  
OM719705.1, Chelonoidis vandenburghi, ATP6        684                              0                    100.00   set: 14  
OM719706.1, Chelonoidis vandenburghi, ATP6        684                              0                    100.00   set: 14  
LT599486.1, Chelonoidis vicina, ATP6              684                              0                    100.00   set: 22  
MT017699.1, Chelonoidis vicina, ATP6              684                              0                    100.00   set: 14  
NC_051479.1, Chelonoidis vicina, ATP6             684                              0                    100.00   set: 14  
OM719689.1, Chelonoidis vicina, ATP6              684                              0                    100.00   set: 14  
OM719690.1, Chelonoidis vicina, ATP6              684                              0                    100.00   set: 14  
OM719691.1, Chelonoidis vicina, ATP6              684                              0                    100.00   set: 14  
OQ581203.1, Chelonoidis vicina, ATP6              684                              0                    100.00   set: 14  
NC_007694.1, Stigmochelys pardalis, ATP6          681                             -3                     99.56   set: 23  
