Median length	165.0
Size range:  165 to 165
Accession ID, Species, Sequence name           Length  Difference from median length  Percent of median length    Groups  Fragment of
OM719685.1, Chelonoidis hoodensis, ATP8           165                              0                    100.00    set: 2  
MT017702.1, Chelonoidis microphyes, ATP8          165                              0                    100.00    set: 4  
NC_051482.1, Chelonoidis microphyes, ATP8         165                              0                    100.00    set: 4  
OM719708.1, Chelonoidis microphyes, ATP8          165                              0                    100.00    set: 4  
OM719709.1, Chelonoidis microphyes, ATP8          165                              0                    100.00    set: 4  
JN999704.2, Chelonoidis niger, ATP8               165                              0                    100.00    set: 4  
MT017691.1, Chelonoidis niger, ATP8               165                              0                    100.00    set: 4  
OM719687.1, Chelonoidis niger, ATP8               165                              0                    100.00    set: 4  
OM719686.1, Chelonoidis phantasticus, ATP8        165                              0                    100.00    set: 4  
OM719688.1, Chelonoidis phantasticus, ATP8        165                              0                    100.00    set: 4  
MT017698.1, Chelonoidis porteri, ATP8             165                              0                    100.00   set: 10  
NC_051478.1, Chelonoidis porteri, ATP8            165                              0                    100.00   set: 10  
OM719680.1, Chelonoidis porteri, ATP8             165                              0                    100.00    set: 4  
OM719681.1, Chelonoidis porteri, ATP8             165                              0                    100.00   set: 10  
OM719682.1, Chelonoidis porteri, ATP8             165                              0                    100.00   set: 10  
MT017701.1, Chelonoidis vandenburghi, ATP8        165                              0                    100.00    set: 4  
NC_051481.1, Chelonoidis vandenburghi, ATP8       165                              0                    100.00    set: 4  
OM719705.1, Chelonoidis vandenburghi, ATP8        165                              0                    100.00    set: 4  
OM719706.1, Chelonoidis vandenburghi, ATP8        165                              0                    100.00    set: 4  
LT599486.1, Chelonoidis vicina, ATP8              165                              0                    100.00    set: 4  
MT017699.1, Chelonoidis vicina, ATP8              165                              0                    100.00   set: 11  
NC_051479.1, Chelonoidis vicina, ATP8             165                              0                    100.00   set: 11  
OM719689.1, Chelonoidis vicina, ATP8              165                              0                    100.00    set: 4  
OM719690.1, Chelonoidis vicina, ATP8              165                              0                    100.00    set: 4  
OM719691.1, Chelonoidis vicina, ATP8              165                              0                    100.00    set: 4  
OQ581203.1, Chelonoidis vicina, ATP8              165                              0                    100.00    set: 4  
NC_007694.1, Stigmochelys pardalis, ATP8          165                              0                    100.00   set: 12  
